Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
106.72,6041.538462,-0.04,3.332
106.82,6044.615385,0.065,3.08
106.94,6048.307692,-0.081,3.127
107.02,6050.769231,0.019,3.374
107.1,6053.268966,0.063,3.116
107.19,6056.124138,-0.001,3.195
107.32,6060.248276,-0.108,3.124
107.44,6064.055172,-0.182,3.228
107.52,6066.593103,-0.372,3.251
107.61,6069.448276,-0.606,3.59
107.7,6072.303448,-0.327,3.34
107.82,6076.110345,-0.036,3.328
107.94,6079.917241,-0.105,3.529
108.02,6082.455172,0.23,3.353
108.12,6085.627586,0.154,3.252
108.22,6088.8,0.245,3.294
108.32,6091.972414,0.281,3.147
108.44,6095.77931,-0.123,3.335
108.52,6098.28777,0.011,3.134
108.59,6100.302158,-0.205,3.213
108.72,6104.043165,-0.212,3.108
108.82,6106.920863,-0.231,3.206
108.94,6110.374101,-0.371,3.251
109.02,6112.676259,-0.324,3.325
109.12,6115.553957,-0.418,3.524
109.2,6117.856115,-0.625,3.234
109.32,6121.309353,-0.609,3.357
109.44,6124.76259,-0.062,3.099
109.52,6127.064748,0.126,3.26
109.62,6129.942446,0.216,3.244
109.72,6132.820144,0.085,3.251
109.82,6135.697842,0.125,3.13
109.94,6138.977273,0,3.226
110.02,6140.931818,0.178,3.343
110.1,6142.886364,-0.236,3.034
110.22,6145.818182,0.042,3.269
110.32,6148.261364,0.029,3.354
110.44,6151.193182,0.018,3.235
110.52,6153.147727,-0.08,3.179
110.62,6155.590909,-0.06,3.189
110.7,6157.545455,0.01,3.184
110.82,6160.477273,0.126,3.236
110.94,6163.409091,0.034,3.37
111.02,6165.363636,0.077,3.216
111.12,6167.806818,0.127,3.382
111.22,6170.25,0.096,2.925
111.32,6172.693182,-0.033,3.036
111.44,6175.625,0.024,3.462
111.53,6177.823864,0.035,3.305
111.6,6179.534091,0.002,3.304
111.72,6182.465909,-0.261,2.991
111.82,6184.909091,-0.061,3.137
111.94,6187.840909,-0.169,3.143
112.02,6189.795455,-0.172,3.059
112.12,6192.238636,-0.004,2.959
112.35,6197.857955,-0.399,3.185
112.45,6200.301136,-0.265,3.209
112.53,6202.255682,-0.113,3.046
112.67,6205.676136,-0.068,3.311
112.75,6207.630682,-0.011,3.242
112.85,6210.073864,-0.042,3
112.97,6213.005682,-0.036,3.101
113.08,6215.693182,-0.199,3.166
113.17,6217.892045,-0.097,3.161
113.27,6220.335227,-0.003,3.066
113.35,6222.289773,-0.163,3.293
113.43,6224.282443,-0.259,3.078
113.55,6227.671756,-0.023,3.425
113.65,6230.496183,-0.458,3.354
113.75,6233.320611,-0.354,3.441
113.85,6236.145038,-0.401,3.319
113.97,6239.534351,-0.006,3.112
114.05,6241.793893,0.128,3.674
114.15,6244.618321,-0.014,3.265
114.25,6247.442748,0.129,3.246
114.35,6250.267176,0.048,3.387
114.45,6253.091603,0.193,3.263
114.59,6257.045802,0.447,3.6
114.69,6259.870229,0.146,3.362
114.79,6262.694656,0.198,3.308
114.91,6266.083969,0.061,3.127
114.99,6268.343511,0.085,3.27
115.07,6270.603053,-0.038,3.22
115.19,6273.992366,-0.113,3.287
115.29,6276.816794,-0.069,3.445
115.41,6280.206107,-0.075,3.043
115.49,6282.465649,-0.116,3.053
