depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
16.865,1697.3,0.63,4.21
16.89,1699.8,0.68,4.24
16.94,1705.8,-0.14,4.56
16.965,1709.4,0.15,4.67
17.01,1717.1,0.99,3.92
17.035,1721.3,0.74,3.92
17.06,1725.5,0.81,4
17.0875,1730.2,0.54,3.83
17.1125,1734.4,0.51,4.11
17.1375,1738.7,0.65,4.23
17.1625,1742.9,0.42,4.25
17.1875,1747.1,0.65,4.34
17.2125,1749.7,0.2,4.48
17.2375,1751.1,0.05,4.06
17.2625,1752.5,0.1,4.32
17.2875,1753.9,0.37,4.13
17.3125,1755.3,0.4,4.21
17.3375,1756.7,0.38,4.13
17.365,1758.2,0.36,3.88
17.3875,1759.5,0.65,4.32
17.4125,1760.9,0.4,3.71
17.4375,1762.3,0.57,4.21
17.465,1763.8,0.77,4.27
17.49,1765.2,0.83,4.14
17.515,1766.6,0.98,3.94
17.54,1768,1.08,3.68
17.55,1768.6,0.93,3.76
17.585,1770.5,0.74,4.31
17.61,1771.9,0.59,4.28
17.635,1773.3,0.92,4.31
17.66,1774.7,0.78,4.42
17.685,1776.1,1.03,4.07
17.71,1777.5,0.86,4.21
17.735,1778.9,0.85,3.67
17.76,1780.3,0.87,3.98
17.785,1781.7,1,4
17.81,1783.1,0.48,3.7
17.835,1784.5,1.08,3.83
17.86,1785.9,1.06,3.96
17.885,1787.3,0.91,3.97
17.91,1788.7,0.44,3.86
17.935,1790.1,0.89,4.51
17.96,1791.5,0.8,4.36
17.985,1792.9,0.43,4.31
18.02,1794.8,0.56,4.35
18.035,1795.6,0.84,4.37
18.085,1798.1,0.25,4.84
18.11,1799.4,0.45,4.52
18.135,1800.7,0.7,4.3
18.16,1801.9,0.89,4.1
18.185,1803.2,0.55,3.72
18.21,1804.4,0.55,3.97
18.235,1805.7,1,3.98
18.26,1807,0.42,3.75
18.285,1808.2,0.7,4.03
18.31,1809.5,0.85,4.11
18.335,1810.7,0.57,4.03
18.36,1812,0.93,4.03
18.385,1813.3,0.81,3.97
18.41,1814.5,0.65,4.32
18.435,1815.8,0.55,4.14
18.46,1817.1,1.04,4.34
18.485,1818.7,0.74,4.33
18.51,1820.5,0.35,4.13
18.535,1822.3,0.88,4.18
18.56,1824.1,0.7,4.11
18.585,1825.9,0.89,3.86
18.61,1827.7,0.7,4.35
18.635,1829.5,1.05,3.89
18.66,1831.3,0.55,4.14
18.685,1833.1,0.58,4.24
18.71,1834.9,0.97,4.29
18.735,1836.7,0.52,4.26
18.76,1838.5,1,3.91
18.785,1840.3,0.9,4.08
18.81,1842.1,1.19,4.3
18.835,1843.9,1.1,3.89
18.86,1845.7,1.22,4.02
18.885,1847.5,1,3.97
18.91,1849.3,1.17,4.09
18.935,1851.1,1.02,3.69
18.985,1854.7,0.94,3.85
19.01,1856.5,1.01,3.8
19.035,1858.3,0.39,4.19
19.085,1860.5,0.33,3.91
19.11,1861.6,0.69,4.24
19.135,1862.8,0.47,4.26
19.16,1863.9,0.27,4.59
19.185,1865,0.16,4.21
19.21,1866.2,0.25,4.54
19.235,1867.5,0.57,4.09
19.26,1868.7,0.29,4
19.285,1870,0.41,4.19
19.31,1871.2,0.03,4.32
19.335,1872.5,0.62,4.02
19.36,1873.7,0.77,4.01
19.385,1874.9,0.78,3.84
19.41,1876.2,0.79,4.04
19.435,1877.4,0.55,3.87
19.46,1878.7,0.22,4.29
19.485,1879.9,0.49,4.06
19.51,1881.2,0.49,4.37
19.535,1882.4,0.73,4.17
19.56,1883.7,0.44,4.14
19.585,1884.9,0.83,4.01
19.6102,1886.1,0.9,3.94
19.635,1887.4,0.81,4.36
19.66,1888.6,0.98,4.01
19.685,1889.9,0.92,3.91
19.71,1891.1,0.37,3.77
19.735,1892.4,0.67,3.89
19.76,1893.6,0.84,3.84
19.785,1894.8,0.77,3.94
19.81,1896.1,0.52,3.92
19.835,1897.3,0.98,4
19.86,1898.6,0.43,3.84
19.885,1899.8,0.74,3.92
19.91,1901.1,0.49,4.42
19.935,1902.3,0.49,4.35
19.96,1903.6,0.69,4.31
19.985,1904.9,0.77,4.31
20.01,1906.2,0.75,3.77
20.035,1907.5,0.86,3.98
20.06,1908.8,0.63,4.04
20.085,1910.1,0.84,4.21
20.11,1911.4,1,4
20.135,1912.8,1.13,3.79
20.16,1914.1,0.59,4.17
20.185,1915.4,1.1,3.39
20.21,1916.7,0.53,3.7
20.235,1918,0.86,4.1
20.26,1919.3,0.94,3.77
20.285,1920.6,0.84,3.89
20.31,1921.9,0.65,3.85
20.335,1923.2,0.9,4.04
20.36,1924.5,0.71,4.06
20.385,1925.8,1.02,4.15
20.411,1927.2,0.75,4.25
20.46,1929.7,1.09,4.25
20.485,1931.1,0.77,4.17
20.51,1932.4,0.8,4.2
20.535,1933.7,1.13,4.12
20.56,1935,0.43,4.64
20.585,1936.3,0.82,4.07
20.61,1937.6,0.83,4.06
20.635,1938.9,0.54,4.3
20.66,1940.2,0.89,4.02
20.685,1941.5,0.48,4.15
20.71,1942.8,0.49,4.26
20.735,1944.1,0.27,4.63
20.76,1945.4,0.14,4.75
20.785,1946.7,0.2,4.65
20.81,1949.1,-0.09,4.7
20.835,1951.5,0.55,3.89
20.86,1953.8,0.32,4.38
20.885,1956.2,0.4,4.22
20.91,1958.5,0.16,4.19
20.935,1960.9,0.27,4.4
20.96,1963.3,0.3,4.12
20.985,1965.6,0.23,4.02
21.01,1968,0.41,4.04
21.035,1970.3,0.49,3.92
21.06,1972.7,0.48,4.19
21.085,1975.1,0.43,4.33
21.135,1979.8,0.49,4.05
21.16,1982.2,0.62,4.01
21.185,1984.5,0.38,3.84
21.21,1986.9,0.57,3.68
21.235,1989.2,0.43,4
21.26,1991.6,0.24,3.75
21.285,1994,0.73,3.88
21.31,1996.3,0.07,4.11
21.335,1998.7,-0.22,4.5
21.36,2001,0.06,4.55
21.385,2003.4,-0.02,4.63
21.41,2005.2,-0.06,4.29
21.435,2006.9,0.34,4.09
21.46,2008.7,-0.15,4.46
21.485,2010.4,0.44,4.09
21.51,2012.2,0.84,3.73
21.535,2013.9,0.23,4.07
21.56,2015.7,0.52,3.75
21.585,2017.5,0.6,3.79
21.61,2019.2,0.44,3.77
21.635,2021,0.47,4
21.66,2022.7,0.66,3.71
21.685,2024.5,0.6,4.12
21.71,2026.2,0.33,4.02
21.735,2028,0.49,4.18
21.76,2029.8,0.4,4.11
21.785,2031.5,0.44,3.92
21.81,2033.3,0.08,4.13
21.835,2035,0.86,3.9
21.86,2036.8,1.18,3.93
21.865,2037.1,0.07,3.93
21.885,2038.5,1.07,3.99
