Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
218.83,19206.7,1.05,1.63
218.85,19209.4,1.1,1.89
218.87,19212,0.99,1.76
218.89,19214.7,0.86,1.83
218.91,19217.3,1.23,1.78
218.93,19220,0.86,1.97
218.95,19222.8,1.26,1.85
218.97,19225.6,1.19,2.01
218.99,19228.5,1.15,1.6
219.01,19231.3,1.22,1.68
219.03,19234.1,1.24,1.8
219.05,19236.9,1.16,1.71
219.07,19239.7,1.14,1.57
219.09,19242.6,1.35,1.64
219.11,19245.4,1.36,1.62
219.13,19248.2,1.07,1.55
219.15,19251,1.42,1.52
219.17,19253.8,1.29,1.66
219.19,19256.7,1.22,1.76
219.21,19259.5,1.36,1.66
219.23,19262.3,1.12,1.52
219.25,19265.1,1.34,1.78
219.27,19267.9,1.24,1.61
219.29,19270.8,1.25,1.53
219.31,19273.6,1.37,1.92
219.33,19276.4,1.25,1.75
219.35,19279.2,1.37,1.65
219.37,19282.1,1.31,1.92
219.39,19284.9,1.45,1.69
219.41,19287.7,1.39,1.58
219.43,19290.5,1.28,1.71
219.45,19293.3,1.48,1.63
219.47,19296.2,1.45,1.65
219.49,19299,1.48,1.75
219.51,19301.8,1.41,1.86
219.53,19304.6,1.45,1.58
219.55,19307.4,1.47,1.66
219.57,19310.3,1.32,1.9
219.59,19313.1,1.17,1.75
219.61,19315.9,1.28,1.85
219.63,19318.7,1.4,2.1
219.65,19321.5,1.28,1.99
219.67,19324.4,1.32,1.89
219.69,19327.2,1.12,1.8
219.71,19330,1.3,1.96
219.73,19332.3,1.12,1.96
219.75,19334.6,1.28,1.91
219.77,19336.9,1.25,1.71
219.79,19339.3,1.36,1.67
219.81,19341.6,1.41,1.87
219.83,19343.9,1.33,1.72
219.85,19346.2,1.43,1.79
219.87,19348.5,1.17,1.81
219.89,19350.8,1.5,1.73
219.91,19353.1,1.26,1.92
219.93,19355.5,1.29,1.97
219.95,19357.8,1.3,1.92
219.97,19360.1,1.3,1.91
219.99,19362.4,1.49,1.92
220.01,19364.7,1.22,1.96
220.03,19367,1.16,1.9
220.05,19369.3,1.31,2.04
220.07,19371.7,1.32,1.99
220.09,19374,1.35,1.89
220.11,19376.3,1.44,1.83
220.13,19378.6,1.45,1.73
220.15,19380.9,1.42,1.71
220.17,19383.2,1.48,1.77
220.18,19384.4,1.23,1.78
220.19,19385.5,1.32,1.89
220.21,19387.9,1.22,1.85
220.23,19390.2,1.31,1.87
220.25,19392.5,1.32,2.18
220.27,19394.8,1.39,1.98
220.29,19397.1,1.17,1.91
220.31,19399.4,1.19,1.94
220.33,19401.7,1.3,1.93
220.35,19404.1,1.19,1.92
220.37,19406.4,1.2,2.04
220.39,19408.7,1.25,2.22
220.41,19411,1.19,1.96
220.43,19413.4,1.23,2.12
220.45,19415.8,1.04,2.12
220.47,19418.2,1.24,1.73
220.49,19420.6,1.31,1.85
220.53,19425.4,1.2,1.91
220.55,19427.8,1.33,1.68
220.57,19430.2,1.22,1.56
220.59,19432.6,1.29,1.8
220.61,19435,1.39,1.7
220.63,19437.3,1.2,1.76
220.65,19439.7,1.29,1.72
220.67,19442.1,1.22,1.89
220.69,19444.5,1.22,1.78
220.71,19446.9,1.28,1.84
220.73,19449.3,1.21,1.83
220.75,19451.7,1.36,1.75
220.77,19454.1,1.1,1.8
220.79,19456.5,1.02,1.84
220.81,19458.9,1.4,2.03
220.83,19461.3,1.36,1.88
220.85,19463.7,1.31,1.92
220.87,19466.1,1.41,2.02
220.89,19468.5,1.37,1.92
220.91,19470.9,1.3,1.77
220.93,19473.3,1.31,1.95
220.95,19475.7,1.37,1.83
220.97,19478.1,1.19,1.96
220.99,19480.5,1.25,1.78
221.01,19482.9,1.33,1.84
221.03,19485.3,1.39,1.85
221.05,19487.6,1.3,1.77
221.07,19490,1.2,1.77
221.09,19492.4,1.22,1.74
221.11,19494.8,1.08,1.75
221.13,19497.2,1.2,1.81
221.15,19499.6,1.14,1.94
221.17,19502,1.29,1.91
221.19,19504.4,1.37,1.75
221.21,19506.8,1.15,1.62
221.23,19509.2,1.07,1.62
221.25,19511.6,1.08,1.85
221.27,19514,0.91,1.62
221.29,19516.4,0.98,1.57
221.31,19518.8,1.2,1.64
221.33,19521.2,1.08,1.68
221.35,19523.6,0.96,1.72
221.37,19526,0.93,1.6
221.39,19528.4,1.14,1.59
221.41,19530.8,1,1.46
221.45,19535.5,0.86,1.41
221.47,19537.9,1.09,1.71
221.49,19540.3,0.78,1.47
221.51,19542.7,1.04,1.47
221.53,19545.1,1.04,1.98
221.55,19547.5,1.05,1.67
221.57,19549.9,1.39,1.87
221.59,19552.3,1.07,1.83
221.61,19554.7,1.19,1.71
221.65,19559.5,0.99,1.76
221.67,19561.9,1.31,1.8
221.69,19564.3,1.22,1.78
221.71,19566.7,1.25,1.76
221.73,19569.1,0.94,1.7
221.75,19571.5,1.31,1.85
221.77,19573.9,1,1.8
221.79,19576.3,1.18,1.68
221.81,19578.7,0.93,2.16
221.83,19581.1,1.1,1.7
221.85,19583.5,1.16,2.02
221.87,19585.8,1.22,1.92
221.89,19588.2,1.14,1.88
221.91,19590.6,1.06,1.91
221.93,19593,1.25,2.04
221.95,19595.4,0.86,1.7
221.97,19597.8,1.17,1.71
221.99,19600.2,1.11,1.59
222.01,19602.6,1.02,1.61
222.03,19605,1.24,1.74
222.05,19607.4,1.14,1.74
222.07,19609.8,1.13,1.88
222.09,19612.2,1.1,1.69
222.11,19614.6,1.12,1.65
222.13,19617,1.1,1.72
222.15,19619.4,1.17,1.68
222.17,19621.8,1.28,1.72
222.19,19624.2,0.98,1.51
222.21,19626.6,0.91,1.5
222.23,19629,0.84,1.43
222.25,19631.4,0.87,1.31
222.27,19633.8,0.86,1.33
222.29,19636.1,0.67,1.36
222.31,19638.5,0.96,1.46
222.33,19640.9,0.85,1.54
222.35,19643.3,1.23,1.76
222.37,19645.7,1.14,1.71
222.39,19648.1,1.13,1.66
222.41,19650.5,1,1.79
222.43,19652.9,1.28,1.92
222.45,19655.3,1.4,1.89
222.47,19657.7,1.05,1.76
222.49,19660.1,1.13,1.89
222.51,19662.5,1.18,1.73
222.53,19664.9,1.21,1.66
222.55,19667.3,1.36,1.85
222.57,19669.7,1.2,1.96
222.59,19672.1,1.19,1.74
222.61,19674.5,1.11,1.74
222.63,19676.9,1.14,1.67
222.655,19679.9,1.29,1.71
222.68,19682.9,1.28,1.81
222.705,19685.8,1.43,1.92
222.73,19688.8,1.37,1.92
222.755,19691.8,1.21,1.59
222.78,19694.8,1.23,1.84
222.83,19700.8,1.17,1.76
222.855,19703.8,0.93,1.75
222.88,19706.8,1.33,1.6
222.905,19709.6,1.18,1.73
222.93,19712.4,0.96,1.69
222.955,19715.1,1.27,1.63
222.98,19717.9,1.07,1.47
223.005,19720.6,1.13,1.63
223.03,19723.4,1.28,1.39
223.055,19726.1,1.13,1.41
223.08,19728.9,1.16,1.5
223.105,19731.6,1.48,1.57
223.13,19734.3,1.18,1.54
223.155,19737.1,0.99,1.37
223.18,19739.8,0.93,1.59
223.205,19742.6,0.98,1.38
223.23,19745.3,0.96,1.5
223.255,19748.1,0.86,1.51
223.28,19750.8,1.21,1.89
223.305,19753.6,0.96,1.96
223.33,19756.3,1.13,1.86
223.355,19759,1.14,1.79
223.38,19761.8,1.19,1.95
223.405,19764.5,1.29,2.01
223.455,19770,1.23,1.88
223.48,19772.8,1.22,1.75
223.505,19775.5,1.31,1.77
223.53,19778.3,1.32,2.06
223.555,19781,1.18,1.87
223.605,19786.5,1.33,1.91
223.63,19789.2,1.22,1.98
223.655,19792,1.27,2.12
223.68,19794.7,1.39,2.23
223.705,19797.5,1.17,1.85
223.73,19800.2,1.19,2.3
223.755,19803,1.38,2.14
223.78,19805.7,1.39,2.07
223.805,19808.5,1.08,1.99
223.83,19811.1,1.29,2.06
223.855,19813.8,1.25,2.07
223.88,19816.4,1.28,1.89
223.905,19819.1,1.23,1.85
223.93,19821.7,1.07,1.86
223.955,19824.4,1.34,1.77
223.98,19827,1.16,1.82
224.005,19829.6,1.37,1.92
224.03,19832.3,1.18,1.74
224.055,19834.9,1.45,2.01
224.08,19837.6,1.14,1.87
224.105,19840.2,1.44,1.91
224.13,19842.9,1.35,1.77
224.155,19845.5,1.25,1.88
224.18,19848.2,1.15,1.79
224.205,19850.8,1.28,1.93
224.23,19853.5,1.15,1.72
224.255,19856.1,1.04,1.61
224.28,19858.8,1.23,1.91
224.305,19861.4,1.28,1.96
224.33,19864.1,0.95,1.85
224.355,19866.7,1.18,2.06
224.38,19869.4,1.29,1.84
224.405,19872,1.13,1.96
224.43,19874.6,0.92,1.36
224.455,19877.3,1.12,1.7
224.48,19879.9,1.32,2.03
224.505,19882.5,1.12,1.76
224.53,19884.9,0.88,1.57
224.555,19887.3,1.04,1.82
224.58,19889.7,1.03,1.6
224.605,19892.2,0.97,1.72
224.63,19894.6,0.79,1.43
224.655,19897,0.92,1.86
224.68,19899.5,1.21,1.84
224.705,19901.9,1.16,1.59
224.73,19904.3,1.4,1.68
224.755,19906.7,1.12,1.8
224.78,19909.2,1.1,1.85
224.805,19911.6,1.48,1.46
224.83,19914,1.38,1.79
224.855,19916.4,1.16,1.54
224.88,19918.9,1.3,1.53
224.905,19921.3,1.27,1.6
224.93,19923.7,0.93,1.43
224.955,19926.2,1.24,1.67
224.98,19928.6,0.64,1.35
225.005,19931,0.75,1.33
225.03,19933.4,0.63,1.38
225.055,19935.9,0.9,1.81
225.08,19938.3,1.18,1.66
225.105,19940.7,1.05,1.57
225.13,19943.2,1.05,1.87
225.155,19945.6,1.14,1.91
