Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
378.52,17110,0.549,1.177
378.62,17115,0.91,1.694
378.72,17120,0.733,1.523
378.84,17126,0.771,1.549
378.92,17130,0.958,1.795
379.02,17135,0.993,1.804
379.13,17141,0.926,1.537
379.22,17145,0.858,1.468
379.32,17150,0.894,1.665
379.42,17155,0.86,1.808
379.52,17160,0.879,1.645
379.62,17165,0.838,1.639
379.72,17170,0.735,1.548
379.82,17175,0.853,1.547
379.89,17178,0.709,1.699
380.03,17185,0.674,1.368
380.12,17189,0.592,1.256
380.22,17194,0.843,1.823
380.32,17199,0.821,1.395
380.36,17201,0.89,1.63
380.46,17206,0.81,1.52
380.56,17210,0.65,1.69
380.66,17215,0.9,1.84
380.76,17220,0.85,1.78
380.86,17225,0.87,1.81
380.96,17230,0.8,1.72
381.06,17234,0.73,1.76
381.16,17239,0.75,1.65
381.26,17244,0.75,1.58
381.36,17249,0.74,1.63
381.46,17253,0.85,1.68
381.56,17258,0.73,1.57
381.66,17263,0.58,1.54
381.76,17268,0.77,1.53
381.86,17272,0.69,1.65
381.96,17277,0.74,1.54
382.06,17282,0.71,1.39
382.16,17287,0.76,1.32
382.26,17291,0.73,1.1
382.36,17296,0.43,1.01
382.46,17301,0.33,0.98
382.56,17306,0.5,1.37
382.66,17310,0.89,1.94
382.76,17315,0.99,1.84
382.86,17320,0.97,1.61
382.96,17324,1.05,1.68
383.06,17329,1.09,1.85
383.16,17334,1.11,1.83
383.26,17338,0.99,1.73
383.36,17343,0.82,1.56
383.46,17348,0.8,1.69
383.56,17352,0.83,1.82
383.66,17357,0.7,1.88
383.76,17362,0.84,1.88
383.86,17366,0.6,1.8
383.96,17371,0.85,1.9
384.06,17376,0.6,1.67
384.16,17380,0.59,1.45
384.26,17385,0.64,1.45
384.36,17390,0.63,1.53
384.46,17394,0.79,1.76
384.56,17399,0.48,1.35
384.66,17404,0.33,1.26
384.76,17408,0.52,1.41
384.85,17413,0.61,1.58
384.95,17417,0.607,1.507
385.05,17422,0.697,1.798
385.13,17426,0.851,1.887
385.23,17430,0.715,1.536
385.35,17436,0.574,1.478
385.45,17441,0.734,1.854
385.54,17445,0.623,1.559
385.65,17450,0.713,1.315
385.76,17455,0.42,1.34
385.85,17458,0.846,1.227
385.92,17461,0.878,1.521
386.04,17465,0.692,1.701
386.15,17470,0.528,1.423
386.25,17473,0.625,1.857
386.31,17475,0.678,1.898
386.41,17479,0.786,1.662
386.51,17483,0.846,1.724
386.64,17488,0.681,1.425
386.74,17492,0.632,1.553
386.84,17495,0.565,1.433
386.94,17499,0.595,1.447
387.05,17503,0.312,1.171
387.15,17507,0.556,1.744
387.25,17511,0.708,1.603
387.35,17514,0.687,1.41
387.45,17518,0.637,1.406
387.55,17522,0.708,1.662
387.65,17525,0.487,1.374
387.75,17529,0.695,1.461
387.85,17533,0.582,1.273
387.95,17537,0.647,1.555
388.05,17540,0.609,1.687
388.15,17544,0.552,1.59
388.25,17548,0.777,1.72
388.35,17551,0.749,1.392
388.45,17555,0.614,1.414
388.55,17559,0.571,1.347
388.65,17563,0.438,1.536
388.75,17566,0.58,1.52
388.85,17570,0.258,1.133
388.95,17574,0.426,1.162
389.05,17578,0.384,1.25
389.15,17581,0.433,1.293
389.25,17585,0.374,1.134
389.35,17591,0.554,1.413
389.45,17596,0.56,1.81
389.55,17602,0.423,1.952
389.65,17608,0.569,1.621
389.66,17608,0.52,1.68
389.76,17614,0.56,1.55
389.86,17620,0.59,1.29
389.96,17626,0.28,1.37
390.06,17631,0.35,1.64
390.16,17637,0.24,1.65
390.26,17643,0.14,1.45
390.36,17648,0.33,1.38
390.46,17654,0.34,1.38
390.56,17660,0,1.09
390.66,17668,-0.04,1.1
390.76,17676,0.45,1.62
390.86,17685,0.39,1.34
390.96,17694,0.52,1.37
391.06,17702,0.54,1.36
391.16,17711,0.68,1.64
391.26,17719,0.68,1.71
391.36,17728,0.66,1.78
391.46,17736,0.65,1.73
391.56,17743,0.66,1.43
391.66,17751,0.54,1.35
391.76,17759,0.54,1.42
391.86,17767,0.54,1.55
391.96,17775,0.53,1.68
392.06,17782,0.21,1.36
392.16,17790,0.61,1.52
392.26,17798,0.64,1.45
392.36,17806,0.36,1.16
392.46,17814,0.54,1.43
392.56,17822,0.79,1.68
392.66,17829,0.48,1.48
392.76,17837,0.61,1.53
392.86,17845,0.78,1.47
392.96,17853,0.83,1.43
393.06,17861,0.75,1.39
393.16,17868,0.62,1.56
393.26,17876,0.47,1.79
393.36,17884,0.44,2
393.46,17891,0.58,1.92
393.56,17897,0.66,2.07
393.66,17904,0.62,1.51
393.76,17911,0.55,1.53
393.86,17917,0.68,1.71
393.96,17924,0.53,1.75
394.06,17931,0.44,1.57
394.16,17937,0.51,1.68
394.26,17944,0.46,1.52
394.36,17950,0.66,1.64
