age_calkaBP,d13Cc.wuell
4.3497,0.72
4.3505,0.6
4.3513,0.68
4.3521,0.54
4.3529,0.7
4.3537,0.45
4.3545,0.6
4.3553,0.46
4.3561,0.42
4.3568,0.51
4.3576,0.63
4.3584,0.58
4.3592,0.69
4.36,0.58
4.3605,0.55
4.361,0.73
4.3616,0.45
4.3621,0.44
4.3626,0.53
4.3631,0.54
4.3636,0.51
4.3642,0.68
4.3647,0.72
4.3652,0.57
4.3657,0.76
4.3662,0.84
4.3667,0.7
4.3673,0.8
4.3678,0.21
4.3683,0.7
4.3688,0.59
4.3693,-0.15
4.3699,0.84
4.3704,0.86
4.3709,0.79
4.3714,0.74
4.3719,0.77
4.3725,0.81
4.373,0.75
4.3735,0.63
4.3739,0.68
4.3745,0.68
4.375,0.79
4.3756,0.84
4.3761,0.73
4.3766,0.76
4.3771,0.5
4.3776,0.62
4.3782,0.78
4.3787,0.66
4.3792,0.07
4.3797,0.35
4.3802,0.4
4.3813,0.61
4.3818,0.52
4.3823,0.65
4.3828,0.79
4.3833,0.57
4.3839,0.33
4.3844,0.81
4.3849,0.73
4.3854,0.47
4.3859,0.8
4.3865,0.73
4.387,0.46
4.3875,0.64
4.388,0.71
4.3885,0.65
4.3891,0.7
4.3896,0.35
4.3901,0.62
4.3906,0.25
4.3911,0.75
4.3917,0.31
4.3922,0.57
4.3927,0.63
4.3932,0.72
4.3937,0.66
4.3942,0.31
4.3948,0.65
4.3953,0.61
4.3958,0.62
4.3963,0.71
4.3968,0.69
4.3974,0.64
4.3979,0.8
4.3984,0.6
4.3989,0.79
4.3994,0.75
4.4,0.72
4.4005,0.59
4.401,0.84
4.4015,0.77
4.402,0.9
4.4031,0.78
4.4036,0.82
4.4041,0.91
4.4046,0.93
4.405,0.73
4.4057,0.4
4.4062,0.75
4.4067,1.02
4.4072,1.01
4.4077,0.76
4.4083,0.74
4.4088,0.86
4.4093,0.92
4.4098,0.64
4.4103,0.7
4.4108,0.74
4.4114,0.8
4.4119,0.84
4.4124,0.91
4.4129,0.75
4.4134,0.76
4.414,1.05
4.4145,0.82
4.415,0.79
4.4164,0.81
4.4178,0.8
4.4192,0.84
4.4206,0.99
4.422,0.95
4.4234,0.96
4.4248,0.82
4.4261,0.84
4.4275,0.87
4.4289,0.72
4.4303,0.99
4.4317,1.02
4.4331,0.82
4.4345,0.87
4.4359,0.94
4.4373,0.78
4.4387,0.86
4.4393,0.97
4.4406,0.78
4.442,0.81
4.4434,0.98
4.4448,0.62
4.4462,0.81
4.4476,0.94
4.449,0.89
4.4504,0.66
4.4518,0.71
4.4532,0.74
4.4546,0.71
4.456,0.65
4.4574,0.73
4.4588,0.97
4.4602,0.8
4.4616,0.89
4.4629,0.75
4.4643,0.86
4.4657,0.9
4.4671,0.93
4.4685,0.84
4.4696,0.76
4.4713,0.89
4.4727,0.9
