Age [Ma],_13C [per mil PDB]
22.688,1.14
22.691,1.16
22.698,1.14
22.701,1.24
22.704,1.25
22.706,0.92
22.708,1.11
22.712,1.06
22.714,0.72
22.717,0.8
22.719,1.06
22.722,0.8
22.725,1.26
22.727,1.08
22.73,1.12
22.733,0.87
22.735,1.07
22.739,1.33
22.742,1.32
22.745,0.65
22.748,0.93
22.751,0.96
22.755,1.09
22.758,1.14
22.761,1.02
22.764,1.14
22.767,1.17
22.77,1.2
22.773,1.06
22.775,1.16
22.777,1.01
22.779,0.93
22.782,1.07
22.784,0.83
22.787,0.73
22.789,0.79
22.791,1.04
22.793,0.57
22.795,1.32
22.798,1.11
22.8,1.18
22.802,1.22
22.804,1.33
22.807,1.04
22.809,1.04
22.813,0.58
22.815,0.75
22.822,1.26
22.828,0.77
22.835,1.15
22.841,1.29
22.848,1.13
22.854,1.35
22.86,1.2
22.867,1.01
22.868,1.18
22.871,1.06
22.873,1.05
22.875,1.11
22.877,1.04
22.879,0.85
22.882,0.79
22.884,0.84
22.886,0.64
22.888,1.13
22.89,1.13
22.892,1.37
22.894,1.1
22.897,1.3
22.901,0.97
22.903,1.35
22.904,1.53
22.908,1.25
22.912,1.12
22.914,1.47
22.918,1.03
22.924,1.54
22.928,1.66
22.931,1.06
22.934,1.17
22.937,1.19
22.94,1.48
22.944,1.5
22.947,1.58
22.95,1.54
22.953,1.48
22.956,1.5
22.96,1.6
22.963,1.24
22.966,1.33
22.969,1.49
22.972,1.5
22.976,1.41
22.979,1.53
22.985,1.3
22.988,1.53
22.991,1.47
22.995,1.38
22.998,1.25
23.001,1.34
23.004,1.13
23.007,1.47
23.011,1.43
23.014,1
23.023,0.91
23.027,1.39
23.03,1.33
23.033,1.33
23.039,1.35
23.046,0.78
23.05,1.5
23.053,1.26
23.056,1.25
23.06,1.03
23.063,1.4
23.066,1.45
23.07,0.99
23.073,1.34
23.076,1.79
23.08,1.25
23.086,1.13
23.09,1.22
23.093,1.29
23.096,1.13
23.1,1.14
23.103,1.07
23.106,1.08
23.11,1.17
23.113,1.16
23.116,1.36
23.12,1.02
23.123,1.51
23.125,1.34
23.13,0.88
23.132,1.46
23.137,0.62
23.139,0.96
23.142,1.33
23.144,1.03
23.146,0.68
23.149,0.64
23.151,1.07
23.156,1.17
23.158,0.93
23.16,1.11
23.163,0.94
23.167,0.63
23.17,0.77
23.174,0.96
23.177,1.23
23.179,0.94
23.184,0.87
23.186,0.83
23.188,0.88
23.19,0.7
23.193,1.22
23.195,0.78
23.197,0.99
23.2,1.47
23.202,1.08
23.204,1.12
23.207,1.06
23.209,0.89
23.211,1.03
23.216,1.22
23.217,1.15
23.221,0.63
23.223,1.11
23.225,0.66
23.227,1.23
23.23,0.67
23.231,0.78
23.234,0.92
23.236,0.72
23.239,0.76
23.241,0.7
23.243,0.85
23.245,0.57
23.248,0.67
23.25,0.63
23.252,0.36
23.255,0.93
23.259,0.41
23.262,0.53
23.265,0.65
23.268,0.88
23.271,0.66
23.275,0.63
23.278,0.51
23.281,0.56
23.284,0.72
23.288,0.61
23.291,0.74
23.294,0.47
23.297,0.63
23.301,0.83
23.304,0.71
23.307,0.73
23.31,0.81
23.314,0.73
23.317,0.78
23.32,0.85
23.323,0.74
23.325,0.61
23.328,0.94
23.33,0.73
23.333,0.8
23.335,0.82
23.338,0.7
23.341,0.46
23.343,0.64
23.346,0.8
23.348,0.52
23.351,0.92
23.353,0.7
23.356,0.85
23.358,0.57
23.361,0.63
23.363,0.46
23.366,0.99
23.369,0.79
23.371,0.79
23.374,0.84
23.376,0.65
23.379,0.75
23.382,0.56
23.385,0.96
23.388,1
23.391,0.91
23.394,1.1
23.397,1.02
23.4,1.06
23.403,1.05
23.406,1.17
23.409,1.05
23.412,1.14
23.416,0.79
23.419,1.03
23.422,0.75
23.424,1.15
23.43,1.2
23.436,1.1
23.439,1.02
23.442,1.21
23.445,1.1
23.448,0.69
