AgeD17MT,benthic d13C
7.29679,1.31
7.29772,1.22
7.29958,1.26
7.30005,1.05
7.30191,1.17
7.30237,1.16
7.3047,1.26
7.30703,1.14
7.30936,1.13
7.31169,1.31
7.31402,1.33
7.31634,1.35
7.31867,1.31
7.321,1.29
7.32296,1.19
7.32492,1.34
7.32689,1.3
7.32885,1.24
7.33081,1.13
7.33278,1.2
7.33474,1.2
7.3367,1.14
7.33866,0.88
7.34063,1.28
7.34259,1.27
7.34455,1.31
7.34847,1.25
7.35044,1.19
7.3524,1.25
7.35436,1.01
7.35633,1.14
7.35829,1.14
7.36025,1.2
7.36221,1.19
7.36417,1.1
7.36614,1.18
7.3681,1.22
7.37006,1.15
7.37203,1.18
7.37399,1.17
7.37595,1.11
7.37615,1.18
7.37791,1.07
7.37811,1.09
7.37811,1.22
7.37987,1.16
7.38007,1.18
7.38184,1.08
7.38203,1.24
7.3838,1.07
7.384,1.18
7.38576,1.22
7.38596,1.29
7.38773,1.24
7.38792,1.34
7.38969,1.29
7.38988,1.3
7.38988,1.39
7.39165,1.36
7.39185,1.18
7.39361,1.37
7.39381,1.38
7.39558,1.33
7.39577,1.12
7.39773,1.43
7.3997,1.41
7.40166,1.43
7.40362,1.41
7.40558,1.43
7.40755,1.35
7.40951,1.1
7.41147,1.11
7.41343,1.21
7.4154,1.15
7.41736,1.26
7.41932,1.23
7.41932,1.23
7.42128,1.09
7.42325,0.98
7.42521,0.91
7.42717,1.15
7.42913,1.15
7.4311,1.38
7.43306,1.28
7.43502,1.22
7.43679,0.97
7.43698,1.18
7.43875,1.15
7.43895,1.34
7.44071,1.2
7.44091,1.29
7.44268,1.17
7.44287,1.31
7.44464,1.18
7.44483,1.26
7.44483,1.31
7.4466,1.36
7.4468,1.14
7.44856,1.16
7.44876,1.28
7.45052,1.3
7.45072,1.09
7.45249,1.2
7.45268,1.32
7.45445,1.27
7.45641,1.17
7.45837,1.15
7.46034,1.05
7.4623,1.15
7.46426,0.95
7.46623,0.95
7.46819,0.88
7.47015,1.03
7.47211,1.08
7.47408,1.27
7.47604,1.12
7.48047,1.15
