Age (Ma) (automatic) (3),d13Cvpdb
26.577,0.646
26.584,0.801
26.584,0.643
26.587,0.543
26.591,0.213
26.592,0.663
26.594,0.228
26.598,0.479
26.598,0.461
26.600,0.213
26.602,0.540
26.602,0.196
26.602,0.445
26.606,0.971
26.607,0.701
26.607,0.861
26.607,0.722
26.611,0.931
26.611,0.636
26.612,0.941
26.614,0.808
26.615,0.420
26.616,0.787
26.623,0.752
26.624,0.852
26.624,0.834
26.631,0.607
26.631,0.711
26.639,0.775
26.641,0.797
26.641,0.579
26.647,0.742
26.649,0.680
26.649,0.580
26.649,0.891
26.649,0.589
26.654,0.570
26.655,0.832
26.655,0.760
26.664,0.712
26.664,0.623
26.664,0.580
26.669,0.490
26.672,0.916
26.672,0.545
26.675,0.736
26.675,0.615
26.679,0.641
26.679,0.541
26.679,0.622
26.681,0.768
26.681,0.708
26.686,0.538
26.686,0.619
26.690,0.427
26.690,0.770
26.693,1.011
26.693,0.381
26.696,0.979
26.700,0.940
26.700,0.899
26.704,0.896
26.705,0.634
26.705,0.590
26.709,0.802
26.711,0.607
26.711,0.620
26.713,0.694
26.732,1.162
26.732,1.162
26.733,0.874
26.733,0.835
26.737,0.825
26.737,1.064
26.741,0.876
26.741,0.650
26.741,0.649
26.745,0.588
26.751,0.826
26.756,0.714
26.762,0.777
26.770,0.909
26.774,1.080
26.774,0.908
26.778,1.076
26.782,0.815
26.784,0.812
26.784,0.746
26.788,0.906
26.792,0.998
26.796,0.620
26.800,0.576
26.803,1.072
26.804,0.731
26.808,0.878
26.812,1.072
26.816,0.664
26.820,0.655
26.820,0.434
26.824,0.899
26.824,0.997
26.827,0.806
26.830,0.800
26.830,0.718
26.835,0.508
26.835,0.505
26.844,0.794
26.844,0.794
26.852,0.800
26.852,0.880
26.857,0.678
26.857,0.717
26.863,0.703
26.866,0.947
26.879,0.388
26.882,0.668
26.893,0.640
26.893,0.544
26.899,0.795
26.899,0.953
26.902,1.018
26.906,1.020
26.906,0.836
26.909,0.807
26.910,0.849
26.913,1.002
26.916,0.816
26.920,0.878
26.923,0.743
26.926,0.460
26.926,0.550
26.926,0.613
26.930,0.597
26.933,0.769
26.937,0.893
26.940,0.815
26.944,0.983
26.948,0.983
26.951,0.941
26.964,0.280
26.976,0.959
26.983,0.511
26.985,0.716
26.990,0.350
26.999,0.764
27.002,0.525
27.002,0.799
