TuningAge(Ka),d13C
3.3964,-0.18
3.4033,-0.807
3.4101,-0.251
3.417,-0.481
3.4189,-0.326
3.4208,-0.425
3.4226,-0.394
3.4245,-0.336
3.4264,-0.491
3.4283,-0.412
3.4301,-0.263
3.432,-0.316
3.4339,-0.137
3.4435,-0.271
3.453,-0.299
3.4573,-0.226
3.4617,-0.299
3.466,-0.141
3.4704,-0.222
3.4747,-0.138
3.4809,-0.143
3.4887,-0.306
3.4937,-0.458
3.4958,-0.331
3.4978,-0.331
3.4999,-0.384
3.5023,-0.35
3.5064,-0.212
3.5085,-0.407
3.5105,-0.128
3.5126,-0.159
3.5189,-0.164
3.5251,-0.249
3.5314,-0.214
3.5376,-0.283
3.5417,-0.281
3.5457,-0.337
3.5498,-0.041
3.5538,0.06
3.5578,-0.009
3.5619,0.014
3.5689,0.067
3.5725,0.018
3.576,-0.048
3.5795,0.003
3.5823,-0.106
3.585,0.177
3.5878,0.017
3.5905,-0.027
3.5933,-0.161
3.596,-0.007
3.5987,-0.056
3.6015,-0.153
3.6044,0.491
3.6073,-0.077
3.6102,-0.191
3.6131,-0.163
3.616,-0.174
3.6192,-0.228
3.6224,-0.269
3.6256,-0.233
3.6288,-0.051
3.632,0.22
3.6352,0.046
3.6384,0.043
3.6416,-0.117
3.6444,0.006
3.6472,-0.156
3.6499,-0.231
3.6527,-0.074
3.6599,-0.034
3.6643,-0.087
3.6687,0.033
3.6732,0.02
3.6776,0.118
3.682,0.323
3.6862,0.072
3.6904,0.029
3.6946,0.021
3.6978,-0.095
3.701,0.021
3.7041,-0.144
3.7073,-0.27
3.7105,-0.094
3.7137,-0.275
3.7168,-0.181
3.72,-0.185
3.723,-0.071
3.726,0.005
3.729,-0.074
3.732,-0.087
3.735,-0.192
3.738,-0.228
3.741,-0.19
3.7457,-0.305
3.7503,-0.361
3.755,-0.186
3.7596,-0.275
3.7642,-0.088
3.7689,-0.066
3.7756,0.039
3.7823,0.069
3.789,-0.146
3.7957,-0.077
3.7962,-0.265
3.7966,-0.281
3.797,-0.453
3.7974,-0.345
3.7978,-0.069
3.7982,-0.364
3.7986,-0.209
3.799,-0.064
3.7993,0.387
3.8001,-0.459
3.8005,-1.013
3.8009,0.002
