Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
7185.27,0.96,2.23,0.96,2.87,"Hodell et al., 2001",C.wuellerstorfi
7187.59,1.03,2.31,1.03,2.95,"Hodell et al., 2001",C.wuellerstorfi
7189.92,0.81,2.13,0.81,2.77,"Hodell et al., 2001",C.wuellerstorfi
7192.25,1.1,2.17,1.1,2.81,"Hodell et al., 2001",C.wuellerstorfi
7194.58,1.21,2.13,1.21,2.77,"Hodell et al., 2001",C.wuellerstorfi
7196.91,0.88,2.1,0.88,2.74,"Hodell et al., 2001",C.wuellerstorfi
7197.14,1.17,2.09,1.17,2.73,New data (this study),C.wuellerstorfi
7199.24,1.24,1.91,1.24,2.55,"Hodell et al., 2001",C.wuellerstorfi
7199.47,1.2,2,1.2,2.64,New data (this study),C.wuellerstorfi
7201.56,1.1,1.97,1.1,2.61,"Hodell et al., 2001",C.wuellerstorfi
7201.8,0.99,1.85,0.99,2.49,New data (this study),C.wuellerstorfi
7203.89,0.75,1.98,0.75,2.62,"Hodell et al., 2001",C.wuellerstorfi
7204.12,1.29,2.03,1.29,2.67,New data (this study),C.wuellerstorfi
7206.45,1.13,2,1.13,2.64,New data (this study),C.wuellerstorfi
7208.78,1.31,2.15,1.31,2.79,New data (this study),C.wuellerstorfi
7211.11,1.18,2.11,1.18,2.75,New data (this study),C.wuellerstorfi
7211.11,1.29,2,1.29,2.64,New data (this study),C.wuellerstorfi
7213.44,1.13,2.15,1.13,2.79,New data (this study),C.wuellerstorfi
7215.77,1.23,2.14,1.23,2.78,New data (this study),C.wuellerstorfi
7218.09,1.18,2.2,1.18,2.84,New data (this study),C.wuellerstorfi
7220.42,1.17,2.17,1.17,2.81,New data (this study),C.wuellerstorfi
7225.08,1.18,2.31,1.18,2.95,New data (this study),C.wuellerstorfi
7227.87,0.97,2.11,0.97,2.75,New data (this study),C.wuellerstorfi
7229.73,1.09,2.29,1.09,2.93,New data (this study),C.wuellerstorfi
7232.06,1.08,2.25,1.08,2.89,New data (this study),C.wuellerstorfi
7234.39,1.06,2.23,1.06,2.87,New data (this study),C.wuellerstorfi
7234.39,1.19,2.25,1.19,2.89,New data (this study),C.wuellerstorfi
7236.72,1.09,2.17,1.09,2.81,New data (this study),C.wuellerstorfi
7239.05,1.09,2.12,1.09,2.76,New data (this study),C.wuellerstorfi
7241.38,1.33,2.12,1.33,2.76,New data (this study),C.wuellerstorfi
7243.7,1.21,2.09,1.21,2.73,New data (this study),C.wuellerstorfi
7246.03,1.07,2.07,1.07,2.71,New data (this study),C.wuellerstorfi
7248.36,1.01,2.01,1.01,2.65,New data (this study),C.wuellerstorfi
7250.69,1.06,2.09,1.06,2.73,New data (this study),C.wuellerstorfi
7253.02,1.15,2.16,1.15,2.8,New data (this study),C.wuellerstorfi
7255.34,1.15,2.17,1.15,2.81,New data (this study),C.wuellerstorfi
7257.67,1.06,2.15,1.06,2.79,New data (this study),C.wuellerstorfi
7260,1.17,2.22,1.17,2.86,New data (this study),C.wuellerstorfi
7261.86,1.15,2.23,1.15,2.87,New data (this study),C.wuellerstorfi
7261.86,1.08,2.14,1.08,2.78,New data (this study),C.wuellerstorfi
7264.66,1.25,2.18,1.25,2.82,New data (this study),C.wuellerstorfi
7266.99,1.19,2.23,1.19,2.87,New data (this study),C.wuellerstorfi
7269.31,1.25,2.07,1.25,2.71,New data (this study),C.wuellerstorfi
7271.64,1.39,2.15,1.39,2.79,New data (this study),C.wuellerstorfi
7273.97,1.32,2.1,1.32,2.74,New data (this study),C.wuellerstorfi
7276.3,1.32,2.04,1.32,2.68,New data (this study),C.wuellerstorfi
7278.63,1.25,2.1,1.25,2.74,New data (this study),C.wuellerstorfi
7280.96,1.12,2,1.12,2.64,New data (this study),C.wuellerstorfi
7281.42,1.16,2.03,1.16,2.67,"Hodell et al., 2001",C.wuellerstorfi
7283.28,1.17,2.13,1.17,2.77,New data (this study),C.wuellerstorfi
7283.75,1.27,2.14,1.27,2.78,"Hodell et al., 2001",C.wuellerstorfi
7285.61,1.29,2.02,1.29,2.66,New data (this study),C.wuellerstorfi
7286.08,1.28,2.09,1.28,2.73,"Hodell et al., 2001",C.wuellerstorfi
7287.94,1.31,2.17,1.31,2.81,New data (this study),C.wuellerstorfi
7288.41,1.19,2.05,1.19,2.69,"Hodell et al., 2001",C.wuellerstorfi
7290.27,1.32,2.16,1.32,2.8,New data (this study),C.wuellerstorfi
7290.73,1.26,2.06,1.26,2.7,"Hodell et al., 2001",C.wuellerstorfi
7292.6,1.27,2.2,1.27,2.84,New data (this study),C.wuellerstorfi
7293.06,1.28,2.21,1.28,2.85,"Hodell et al., 2001",C.wuellerstorfi
7294.92,1.24,2.21,1.24,2.85,New data (this study),C.wuellerstorfi
7295.39,1.18,2.24,1.18,2.88,"Hodell et al., 2001",C.wuellerstorfi
7296.79,1.23,2.23,1.23,2.87,New data (this study),C.wuellerstorfi
7296.79,1.31,2.33,1.31,2.97,New data (this study),C.wuellerstorfi
7297.72,1.22,2.28,1.22,2.92,"Hodell et al., 2001",C.wuellerstorfi
7299.58,1.26,2.37,1.26,3.01,New data (this study),C.wuellerstorfi
7300.05,1.05,2.19,1.05,2.83,"Hodell et al., 2001",C.wuellerstorfi
7301.91,1.17,2.21,1.17,2.85,New data (this study),C.wuellerstorfi
7302.37,1.16,2.13,1.16,2.77,"Hodell et al., 2001",C.wuellerstorfi
7304.7,1.26,2.11,1.26,2.75,"Hodell et al., 2001",C.wuellerstorfi
7307.03,1.14,2.17,1.14,2.81,"Hodell et al., 2001",C.wuellerstorfi
7309.36,1.13,2.1,1.13,2.74,"Hodell et al., 2001",C.wuellerstorfi
7311.69,1.31,2.13,1.31,2.77,"Hodell et al., 2001",C.wuellerstorfi
7314.02,1.33,2.06,1.33,2.7,"Hodell et al., 2001",C.wuellerstorfi
7316.34,1.35,2.03,1.35,2.67,"Hodell et al., 2001",C.wuellerstorfi
7318.67,1.31,2.04,1.31,2.68,"Hodell et al., 2001",C.wuellerstorfi
7321,1.29,1.88,1.29,2.52,"Hodell et al., 2001",C.wuellerstorfi
7322.96,1.19,2.01,1.19,2.65,"Hodell et al., 2001",C.wuellerstorfi
7324.92,1.34,2.06,1.34,2.7,"Hodell et al., 2001",C.wuellerstorfi
7326.89,1.3,2.1,1.3,2.74,"Hodell et al., 2001",C.wuellerstorfi
7328.85,1.24,2.15,1.24,2.79,"Hodell et al., 2001",C.wuellerstorfi
7330.81,1.13,2.15,1.13,2.79,"Hodell et al., 2001",C.wuellerstorfi
7332.78,1.2,2.17,1.2,2.81,"Hodell et al., 2001",C.wuellerstorfi
7334.74,1.2,2.18,1.2,2.82,"Hodell et al., 2001",C.wuellerstorfi
7336.7,1.14,2.17,1.14,2.81,"Hodell et al., 2001",C.wuellerstorfi
7338.66,0.88,2.15,0.88,2.79,"Hodell et al., 2001",C.wuellerstorfi
7340.63,1.28,2.21,1.28,2.85,"Hodell et al., 2001",C.wuellerstorfi
7342.59,1.27,2.26,1.27,2.9,"Hodell et al., 2001",C.wuellerstorfi
7344.55,1.31,2.19,1.31,2.83,"Hodell et al., 2001",C.wuellerstorfi
7348.47,1.25,2.16,1.25,2.8,"Hodell et al., 2001 - different to request by -2 cm",C.wuellerstorfi
7350.44,1.19,2.2,1.19,2.84,"Hodell et al., 2001",C.wuellerstorfi
7352.4,1.25,2.12,1.25,2.76,"Hodell et al., 2001",C.wuellerstorfi
7354.36,1.01,2.06,1.01,2.7,"Hodell et al., 2001",C.wuellerstorfi
7356.33,1.14,1.98,1.14,2.62,"Hodell et al., 2001",C.wuellerstorfi
7358.29,1.14,2,1.14,2.64,"Hodell et al., 2001",C.wuellerstorfi
7360.25,1.2,1.98,1.2,2.62,"Hodell et al., 2001",C.wuellerstorfi
7362.21,1.19,2.04,1.19,2.68,"Hodell et al., 2001",C.wuellerstorfi
7364.17,1.1,1.95,1.1,2.59,"Hodell et al., 2001",C.wuellerstorfi
7366.14,1.18,1.97,1.18,2.61,"Hodell et al., 2001",C.wuellerstorfi
7368.1,1.22,1.98,1.22,2.62,"Hodell et al., 2001",C.wuellerstorfi
7370.06,1.15,1.95,1.15,2.59,"Hodell et al., 2001",C.wuellerstorfi
7372.03,1.18,2.05,1.18,2.69,"Hodell et al., 2001",C.wuellerstorfi
7373.99,1.17,2.18,1.17,2.82,"Hodell et al., 2001",C.wuellerstorfi
7375.95,1.11,2.1,1.11,2.74,"Hodell et al., 2001",C.wuellerstorfi
7376.15,1.18,2.34,1.18,2.98,New data (this study),C.wuellerstorfi
7377.91,1.07,2.17,1.07,2.81,"Hodell et al., 2001",C.wuellerstorfi
7378.11,1.09,2.26,1.09,2.9,New data (this study),C.wuellerstorfi
7378.11,1.22,2.34,1.22,2.98,New data (this study),C.wuellerstorfi
7379.87,1.16,2.19,1.16,2.83,"Hodell et al., 2001",C.wuellerstorfi
7380.07,1.18,2.25,1.18,2.89,New data (this study),C.wuellerstorfi
7381.84,1.08,2.19,1.08,2.83,"Hodell et al., 2001",C.wuellerstorfi
7382.03,1.24,2.28,1.24,2.92,New data (this study),C.wuellerstorfi
7383.8,1.07,2.15,1.07,2.79,"Hodell et al., 2001",C.wuellerstorfi
7384,1.18,2.33,1.18,2.97,New data (this study),C.wuellerstorfi
7385.76,1.22,2.25,1.22,2.89,"Hodell et al., 2001",C.wuellerstorfi
7385.96,1.29,2.28,1.29,2.92,New data (this study),C.wuellerstorfi
7387.73,1.24,2.18,1.24,2.82,"Hodell et al., 2001",C.wuellerstorfi
7387.92,1.34,2.28,1.34,2.92,New data (this study),C.wuellerstorfi
7389.69,1.29,2.08,1.29,2.72,"Hodell et al., 2001",C.wuellerstorfi
7389.88,1.3,2.22,1.3,2.86,New data (this study),C.wuellerstorfi
7389.88,1.39,2.24,1.39,2.88,New data (this study),C.wuellerstorfi
7391.65,1.36,2.12,1.36,2.76,"Hodell et al., 2001",C.wuellerstorfi
7391.85,1.18,2.13,1.18,2.77,New data (this study),C.wuellerstorfi
7393.61,1.37,2.02,1.37,2.66,"Hodell et al., 2001",C.wuellerstorfi
7393.81,1.38,2.05,1.38,2.69,New data (this study),C.wuellerstorfi
7395.58,1.33,2.05,1.33,2.69,"Hodell et al., 2001",C.wuellerstorfi
7395.77,1.12,2.12,1.12,2.76,New data (this study),C.wuellerstorfi
7397.73,1.43,2.08,1.43,2.72,New data (this study),C.wuellerstorfi
7399.7,1.41,2.17,1.41,2.81,New data (this study),C.wuellerstorfi
7401.66,1.43,2.07,1.43,2.71,New data (this study),C.wuellerstorfi
7403.62,1.41,2.18,1.41,2.82,New data (this study),C.wuellerstorfi
7405.58,1.43,2.12,1.43,2.76,New data (this study),C.wuellerstorfi
7407.55,1.35,2.18,1.35,2.82,New data (this study),C.wuellerstorfi
7409.51,1.1,2.09,1.1,2.73,New data (this study),C.wuellerstorfi
7411.47,1.11,2.09,1.11,2.73,New data (this study),C.wuellerstorfi
7413.43,1.21,2.18,1.21,2.82,New data (this study),C.wuellerstorfi
7415.4,1.15,2.2,1.15,2.84,New data (this study),C.wuellerstorfi
7417.36,1.26,2.2,1.26,2.84,New data (this study),C.wuellerstorfi
7419.32,1.23,2.28,1.23,2.92,New data (this study),C.wuellerstorfi
7419.32,1.23,2.24,1.23,2.88,New data (this study),C.wuellerstorfi
7421.28,1.09,2.23,1.09,2.87,New data (this study),C.wuellerstorfi
7423.25,0.98,2.13,0.98,2.77,New data (this study),C.wuellerstorfi
7425.21,0.91,2.1,0.91,2.74,New data (this study),C.wuellerstorfi
7427.17,1.15,2,1.15,2.64,New data (this study),C.wuellerstorfi
7429.13,1.15,2.22,1.15,2.86,New data (this study),C.wuellerstorfi
7431.1,1.38,2.19,1.38,2.83,New data (this study),C.wuellerstorfi
7433.06,1.28,2.12,1.28,2.76,New data (this study),C.wuellerstorfi
7435.02,1.22,2.01,1.22,2.65,New data (this study),C.wuellerstorfi
7436.79,0.97,2.14,0.97,2.78,"Hodell et al., 2001",C.wuellerstorfi
7436.98,1.18,2.05,1.18,2.69,New data (this study),C.wuellerstorfi
7438.75,1.15,2.12,1.15,2.76,"Hodell et al., 2001",C.wuellerstorfi
7438.95,1.34,2.04,1.34,2.68,New data (this study),C.wuellerstorfi
7440.71,1.2,2.03,1.2,2.67,"Hodell et al., 2001",C.wuellerstorfi
7440.91,1.29,2.07,1.29,2.71,New data (this study),C.wuellerstorfi
7442.68,1.17,1.91,1.17,2.55,"Hodell et al., 2001",C.wuellerstorfi
7442.87,1.31,2.08,1.31,2.72,New data (this study),C.wuellerstorfi
7444.64,1.18,1.93,1.18,2.57,"Hodell et al., 2001",C.wuellerstorfi
7444.83,1.26,2.04,1.26,2.68,New data (this study),C.wuellerstorfi
7444.83,1.31,2.06,1.31,2.7,New data (this study),C.wuellerstorfi
7446.6,1.36,2,1.36,2.64,"Hodell et al., 2001",C.wuellerstorfi
7446.8,1.14,2.03,1.14,2.67,New data (this study),C.wuellerstorfi
7448.56,1.16,2.07,1.16,2.71,"Hodell et al., 2001",C.wuellerstorfi
7448.76,1.28,2.12,1.28,2.76,New data (this study),C.wuellerstorfi
7450.52,1.3,2.07,1.3,2.71,"Hodell et al., 2001",C.wuellerstorfi
7450.72,1.09,2.01,1.09,2.65,New data (this study),C.wuellerstorfi
7452.49,1.2,2.09,1.2,2.73,"Hodell et al., 2001",C.wuellerstorfi
7452.68,1.32,2.12,1.32,2.76,New data (this study),C.wuellerstorfi
7454.45,1.27,2.17,1.27,2.81,"Hodell et al., 2001",C.wuellerstorfi
7456.41,1.17,2.1,1.17,2.74,"Hodell et al., 2001",C.wuellerstorfi
7458.37,1.15,2.13,1.15,2.77,"Hodell et al., 2001",C.wuellerstorfi
7460.34,1.05,2.07,1.05,2.71,"Hodell et al., 2001",C.wuellerstorfi
7462.3,1.15,2.16,1.15,2.8,"Hodell et al., 2001",C.wuellerstorfi
7464.26,0.95,2.25,0.95,2.89,"Hodell et al., 2001",C.wuellerstorfi
7466.23,0.95,2.24,0.95,2.88,"Hodell et al., 2001",C.wuellerstorfi
7468.19,0.88,2.16,0.88,2.8,"Hodell et al., 2001",C.wuellerstorfi
7470.15,1.03,2.16,1.03,2.8,"Hodell et al., 2001",C.wuellerstorfi
7472.11,1.08,2.12,1.08,2.76,"Hodell et al., 2001",C.wuellerstorfi
7474.08,1.27,2.03,1.27,2.67,"Hodell et al., 2001",C.wuellerstorfi
7476.04,1.12,1.96,1.12,2.6,"Hodell et al., 2001",C.wuellerstorfi
7480.47,1.15,1.91,1.15,2.55,"Hodell et al., 2001",C.wuellerstorfi
7482.94,1.34,2.02,1.34,2.66,"Hodell et al., 2001",C.wuellerstorfi
7485.41,1.24,2.1,1.24,2.74,"Hodell et al., 2001",C.wuellerstorfi
7487.88,1.32,2.17,1.32,2.81,"Hodell et al., 2001",C.wuellerstorfi
7490.35,1.34,2.21,1.34,2.85,"Hodell et al., 2001",C.wuellerstorfi
7492.82,0.98,2.21,0.98,2.85,"Hodell et al., 2001",C.wuellerstorfi
7495.29,1.07,2.21,1.07,2.85,"Hodell et al., 2001",C.wuellerstorfi
7500.24,1.35,2.32,1.35,2.96,"Hodell et al., 2001",C.wuellerstorfi
7502.71,1.35,2.22,1.35,2.86,"Hodell et al., 2001",C.wuellerstorfi
7505.18,1.21,2.19,1.21,2.83,"Hodell et al., 2001",C.wuellerstorfi
7507.65,1.36,2.2,1.36,2.84,"Hodell et al., 2001",C.wuellerstorfi
7510.12,1.33,2.21,1.33,2.85,"Hodell et al., 2001",C.wuellerstorfi
7512.59,1.38,2.24,1.38,2.88,"Hodell et al., 2001",C.wuellerstorfi
7515.06,1.19,2.17,1.19,2.81,"Hodell et al., 2001",C.wuellerstorfi
7517.53,1.31,2.22,1.31,2.86,"Hodell et al., 2001",C.wuellerstorfi
7520,1.4,2.21,1.4,2.85,"Hodell et al., 2001",C.wuellerstorfi
7522.47,1.41,2.16,1.41,2.8,"Hodell et al., 2001",C.wuellerstorfi
7524.94,1.39,2.16,1.39,2.8,"Hodell et al., 2001",C.wuellerstorfi
7527.41,1.41,2.07,1.41,2.71,"Hodell et al., 2001",C.wuellerstorfi
7529.88,1.45,2.09,1.45,2.73,"Hodell et al., 2001",C.wuellerstorfi
7532.35,1.4,2.04,1.4,2.68,"Hodell et al., 2001",C.wuellerstorfi
7534.82,1.38,2.01,1.38,2.65,"Hodell et al., 2001",C.wuellerstorfi
7537.29,1.31,2.04,1.31,2.68,"Hodell et al., 2001",C.wuellerstorfi
7539.76,1.42,2.12,1.42,2.76,"Hodell et al., 2001",C.wuellerstorfi
7542.24,1.4,1.99,1.4,2.63,"Hodell et al., 2001",C.wuellerstorfi
7547.18,1.43,2.1,1.43,2.74,"Hodell et al., 2001",C.wuellerstorfi
7549.65,1.37,2.19,1.37,2.83,"Hodell et al., 2001",C.wuellerstorfi
7552.12,1.38,2.18,1.38,2.82,"Hodell et al., 2001",C.wuellerstorfi
7554.59,1.59,2.21,1.59,2.85,"Hodell et al., 2001",C.wuellerstorfi
7557.06,1.35,2.08,1.35,2.72,"Hodell et al., 2001",C.wuellerstorfi
7559.53,1.53,2.2,1.53,2.84,"Hodell et al., 2001",C.wuellerstorfi
7562,1.44,2.13,1.44,2.77,"Hodell et al., 2001",C.wuellerstorfi
7564.47,1.48,2.1,1.48,2.74,"Hodell et al., 2001",C.wuellerstorfi
7566.94,1.49,2.16,1.49,2.8,"Hodell et al., 2001",C.wuellerstorfi
7569.66,1.58,2.18,1.58,2.82,New data (this study),C.wuellerstorfi
7572.13,1.52,2.09,1.52,2.73,New data (this study),C.wuellerstorfi
7574.35,1.31,2.16,1.31,2.8,"Hodell et al., 2001",C.wuellerstorfi
7576.82,1.56,2.28,1.56,2.92,"Hodell et al., 2001",C.wuellerstorfi
7579.29,1.43,2.15,1.43,2.79,"Hodell et al., 2001",C.wuellerstorfi
7581.76,1.38,2.16,1.38,2.8,"Hodell et al., 2001",C.wuellerstorfi
7584.24,1.33,2.22,1.33,2.86,"Hodell et al., 2001",C.wuellerstorfi
7586.71,1.41,2.16,1.41,2.8,"Hodell et al., 2001",C.wuellerstorfi
7589.18,1.43,2.28,1.43,2.92,"Hodell et al., 2001",C.wuellerstorfi
7591.65,1.39,2.17,1.39,2.81,"Hodell et al., 2001",C.wuellerstorfi
7594.12,1.39,2.22,1.39,2.86,"Hodell et al., 2001",C.wuellerstorfi
7596.59,1.52,2.19,1.52,2.83,"Hodell et al., 2001",C.wuellerstorfi
7599.06,1.63,2.02,1.63,2.66,"Hodell et al., 2001",C.wuellerstorfi
7601.53,1.66,1.98,1.66,2.62,"Hodell et al., 2001",C.wuellerstorfi
7604,1.68,2.09,1.68,2.73,"Hodell et al., 2001",C.wuellerstorfi
7608.94,1.47,2.3,1.47,2.94,"Hodell et al., 2001",C.wuellerstorfi
7616.35,1.43,2.42,1.43,3.06,"Hodell et al., 2001",C.wuellerstorfi
7621.29,1.41,2.34,1.41,2.98,"Hodell et al., 2001",C.wuellerstorfi
7624.01,1.43,2.27,1.43,2.91,New data (this study),C.wuellerstorfi
7626.24,1.52,2.25,1.52,2.89,"Hodell et al., 2001",C.wuellerstorfi
7628.71,1.23,2.24,1.23,2.88,"Hodell et al., 2001",C.wuellerstorfi
7631.18,1.45,2.35,1.45,2.99,"Hodell et al., 2001",C.wuellerstorfi
7633.65,1.58,2.1,1.58,2.74,"Hodell et al., 2001",C.wuellerstorfi
7634.39,1.6,2.2,1.6,2.84,New data (this study),C.wuellerstorfi
7636.12,1.5,2.09,1.5,2.73,"Hodell et al., 2001",C.wuellerstorfi
7638.59,1.53,2.02,1.53,2.66,"Hodell et al., 2001 - different to request by -1 cm",C.wuellerstorfi
7638.84,1.52,2.08,1.52,2.72,New data (this study),C.wuellerstorfi
7638.84,1.66,2.09,1.66,2.73,New data (this study),C.wuellerstorfi
7641.06,1.5,2.06,1.5,2.7,"Hodell et al., 2001 - different to request by -2 cm",C.wuellerstorfi
7641.31,1.54,2.02,1.54,2.66,New data (this study),C.wuellerstorfi
7643.53,1.51,2.03,1.51,2.67,"Hodell et al., 2001",C.wuellerstorfi
7643.78,1.58,2.05,1.58,2.69,New data (this study),C.wuellerstorfi
7646,1.53,2.09,1.53,2.73,"Hodell et al., 2001",C.wuellerstorfi
7646.29,1.64,2.07,1.64,2.71,New data (this study),C.wuellerstorfi
7648.9,1.52,2.11,1.52,2.75,"Hodell et al., 2001",C.wuellerstorfi
7649.18,1.55,2.11,1.55,2.75,New data (this study),C.wuellerstorfi
7652.08,1.59,2.25,1.59,2.89,New data (this study),C.wuellerstorfi
7654.98,1.49,2.28,1.49,2.92,New data (this study),C.wuellerstorfi
7657.87,1.58,2.26,1.58,2.9,New data (this study),C.wuellerstorfi
7660.77,1.49,2.21,1.49,2.85,New data (this study),C.wuellerstorfi
7663.66,1.44,2.35,1.44,2.99,New data (this study),C.wuellerstorfi
7666.56,1.35,2.24,1.35,2.88,New data (this study),C.wuellerstorfi
7669.45,1.39,2.3,1.39,2.94,New data (this study),C.wuellerstorfi
7672.35,1.54,2.36,1.54,3,New data (this study),C.wuellerstorfi
7675.82,1.59,2.22,1.59,2.86,New data (this study),C.wuellerstorfi
7675.82,1.54,2.35,1.54,2.99,New data (this study),C.wuellerstorfi
7678.14,1.69,2.19,1.69,2.83,New data (this study),C.wuellerstorfi
7681.03,1.61,2.18,1.61,2.82,New data (this study),C.wuellerstorfi
7683.93,1.58,2.23,1.58,2.87,New data (this study),C.wuellerstorfi
7686.82,1.56,2.13,1.56,2.77,New data (this study),C.wuellerstorfi
7689.72,1.61,2.09,1.61,2.73,New data (this study),C.wuellerstorfi
7692.61,1.59,2.25,1.59,2.89,New data (this study),C.wuellerstorfi
7695.51,1.6,2.31,1.6,2.95,New data (this study),C.wuellerstorfi
7698.4,1.62,2.29,1.62,2.93,New data (this study),C.wuellerstorfi
7701.3,1.6,2.27,1.6,2.91,New data (this study),C.wuellerstorfi
7704.19,1.6,2.37,1.6,3.01,New data (this study),C.wuellerstorfi
7707.09,1.52,2.21,1.52,2.85,New data (this study),C.wuellerstorfi
7707.67,1.44,2.17,1.44,2.81,"Hodell et al., 2001",C.wuellerstorfi
7709.98,1.45,2.3,1.45,2.94,New data (this study),C.wuellerstorfi
7710.56,1.42,2.23,1.42,2.87,"Hodell et al., 2001",C.wuellerstorfi
7712.88,1.49,2.25,1.49,2.89,New data (this study),C.wuellerstorfi
7713.46,1.43,2.14,1.43,2.78,"Hodell et al., 2001",C.wuellerstorfi
7715.77,1.39,2.27,1.39,2.91,New data (this study),C.wuellerstorfi
7716.35,1.35,2.29,1.35,2.93,"Hodell et al., 2001",C.wuellerstorfi
7718.09,1.5,2.31,1.5,2.95,New data (this study),C.wuellerstorfi
7719.25,1.43,2.21,1.43,2.85,"Hodell et al., 2001",C.wuellerstorfi
7721.56,1.51,2.17,1.51,2.81,New data (this study),C.wuellerstorfi
7722.14,1.49,2.24,1.49,2.88,"Hodell et al., 2001",C.wuellerstorfi
7724.46,1.42,2.16,1.42,2.8,New data (this study),C.wuellerstorfi
7725.04,1.45,2.3,1.45,2.94,"Hodell et al., 2001",C.wuellerstorfi
7727.36,1.62,2.18,1.62,2.82,New data (this study),C.wuellerstorfi
7727.93,1.38,2.35,1.38,2.99,"Hodell et al., 2001",C.wuellerstorfi
7730.25,1.71,2.23,1.71,2.87,New data (this study),C.wuellerstorfi
7730.25,1.63,2.1,1.63,2.74,New data (this study),C.wuellerstorfi
7730.83,1.41,2.21,1.41,2.85,"Hodell et al., 2001",C.wuellerstorfi
7733.15,1.63,2.16,1.63,2.8,New data (this study),C.wuellerstorfi
7733.72,1.34,2.16,1.34,2.8,"Hodell et al., 2001",C.wuellerstorfi
7736.62,1.46,2.18,1.46,2.82,"Hodell et al., 2001",C.wuellerstorfi
7739.51,1.47,2.16,1.47,2.8,"Hodell et al., 2001",C.wuellerstorfi
7742.41,1.51,2.16,1.51,2.8,"Hodell et al., 2001",C.wuellerstorfi
7745.31,1.35,2.04,1.35,2.68,"Hodell et al., 2001",C.wuellerstorfi
7748.2,1.46,2.03,1.46,2.67,"Hodell et al., 2001",C.wuellerstorfi
7751.1,1.46,2.11,1.46,2.75,"Hodell et al., 2001",C.wuellerstorfi
7753.99,1.47,2.12,1.47,2.76,"Hodell et al., 2001",C.wuellerstorfi
7756.89,1.35,2.12,1.35,2.76,"Hodell et al., 2001",C.wuellerstorfi
7759.78,1.65,1.99,1.65,2.63,"Hodell et al., 2001",C.wuellerstorfi
7762.68,1.51,2.07,1.51,2.71,"Hodell et al., 2001",C.wuellerstorfi
7765.57,1.49,2.32,1.49,2.96,"Hodell et al., 2001",C.wuellerstorfi
7768.47,1.48,2.23,1.48,2.87,"Hodell et al., 2001",C.wuellerstorfi
7771.36,1.54,2.21,1.54,2.85,"Hodell et al., 2001",C.wuellerstorfi
7774.26,1.48,2.22,1.48,2.86,"Hodell et al., 2001",C.wuellerstorfi
7777.15,1.42,2.26,1.42,2.9,"Hodell et al., 2001",C.wuellerstorfi
7780.05,1.48,2.05,1.48,2.69,"Hodell et al., 2001",C.wuellerstorfi
7782.94,1.32,2,1.32,2.64,"Hodell et al., 2001",C.wuellerstorfi
7785.84,1.31,2.1,1.31,2.74,"Hodell et al., 2001",C.wuellerstorfi
7788.73,1.23,2.16,1.23,2.8,"Hodell et al., 2001",C.wuellerstorfi
7791.63,1.29,2.07,1.29,2.71,"Hodell et al., 2001",C.wuellerstorfi
7794.52,1.07,2.28,1.07,2.92,"Hodell et al., 2001",C.wuellerstorfi
7797.42,1.07,2.22,1.07,2.86,"Hodell et al., 2001",C.wuellerstorfi
7800.31,1.42,2.1,1.42,2.74,"Hodell et al., 2001",C.wuellerstorfi
7803.21,1.43,2.08,1.43,2.72,"Hodell et al., 2001",C.wuellerstorfi
7806.11,1.54,2.08,1.54,2.72,"Hodell et al., 2001",C.wuellerstorfi
7809,1.37,2.01,1.37,2.65,"Hodell et al., 2001",C.wuellerstorfi
7810.97,1.45,2.04,1.45,2.68,"Hodell et al., 2001",C.wuellerstorfi
7812.93,1.43,2.12,1.43,2.76,"Hodell et al., 2001",C.wuellerstorfi
7814.9,1.41,2.22,1.41,2.86,"Hodell et al., 2001",C.wuellerstorfi
7816.86,1.4,2.42,1.4,3.06,"Hodell et al., 2001",C.wuellerstorfi
7818.83,1.26,2.25,1.26,2.89,"Hodell et al., 2001",C.wuellerstorfi
7820.79,1.46,2.22,1.46,2.86,"Hodell et al., 2001",C.wuellerstorfi
7822.76,1.52,2.35,1.52,2.99,"Hodell et al., 2001",C.wuellerstorfi
7824.73,1.37,2.19,1.37,2.83,"Hodell et al., 2001",C.wuellerstorfi
7828.66,1.3,2.2,1.3,2.84,"Hodell et al., 2001",C.wuellerstorfi
7830.62,1.25,2.11,1.25,2.75,"Hodell et al., 2001",C.wuellerstorfi
7832.59,1.22,2.2,1.22,2.84,"Hodell et al., 2001",C.wuellerstorfi
7834.55,1.11,2.21,1.11,2.85,"Hodell et al., 2001",C.wuellerstorfi
7836.52,1.12,2.21,1.12,2.85,"Hodell et al., 2001",C.wuellerstorfi
7838.48,0.79,2.12,0.79,2.76,"Hodell et al., 2001",C.wuellerstorfi
7840.45,1.05,2.21,1.05,2.85,"Hodell et al., 2001",C.wuellerstorfi
7842.42,0.93,2.12,0.93,2.76,"Hodell et al., 2001",C.wuellerstorfi
7842.61,1.17,2.18,1.17,2.82,New data (this study),C.wuellerstorfi
