Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
5816.9,0.45,2.17,0.45,2.81,"Hodell et al., 2001",C.wuellerstorfi
5818.85,0.71,2.24,0.71,2.88,"Hodell et al., 2001",C.wuellerstorfi
5820.79,0.65,2.08,0.65,2.72,"Hodell et al., 2001",C.wuellerstorfi
5822.73,0.67,1.84,0.67,2.48,"Hodell et al., 2001",C.wuellerstorfi
5824.68,0.75,2.19,0.75,2.83,"Hodell et al., 2001",C.wuellerstorfi
5826.62,0.76,2.16,0.76,2.8,"Hodell et al., 2001",C.wuellerstorfi
5828.56,0.42,2.09,0.42,2.73,"Hodell et al., 2001",C.wuellerstorfi
5830.51,0.56,2.3,0.56,2.94,"Hodell et al., 2001",C.wuellerstorfi
5832.45,0.71,2.46,0.71,3.1,"Hodell et al., 2001",C.wuellerstorfi
5836.34,0.56,2.52,0.56,3.16,"Hodell et al., 2001",C.wuellerstorfi
5838.28,0.59,2.43,0.59,3.07,"Hodell et al., 2001",C.wuellerstorfi
5840.23,0.29,2.47,0.29,3.11,"Hodell et al., 2001",C.wuellerstorfi
5844.11,0.71,2.36,0.71,3,"Hodell et al., 2001",C.wuellerstorfi
5848,0.89,1.91,0.89,2.55,"Hodell et al., 2001",C.wuellerstorfi
5850.59,0.92,2.18,0.92,2.82,"Hodell et al., 2001",C.wuellerstorfi
5853.19,1.03,2.14,1.03,2.78,"Hodell et al., 2001",C.wuellerstorfi
5855.78,0.96,2.07,0.96,2.71,"Hodell et al., 2001",C.wuellerstorfi
5858.37,0.97,2.19,0.97,2.83,"Hodell et al., 2001",C.wuellerstorfi
5863.56,0.89,2.32,0.89,2.96,"Hodell et al., 2001",C.wuellerstorfi
5867.97,0.71,2.13,0.71,2.77,"Hodell et al., 2001",C.wuellerstorfi
5870.56,0.69,2.17,0.69,2.81,"Hodell et al., 2001",C.wuellerstorfi
5873.16,0.76,2.16,0.76,2.8,"Hodell et al., 2001",C.wuellerstorfi
5875.75,0.73,2.19,0.73,2.83,"Hodell et al., 2001",C.wuellerstorfi
5883.53,0.76,2.19,0.76,2.83,"Hodell et al., 2001",C.wuellerstorfi
5886.13,0.99,1.87,0.99,2.51,"Hodell et al., 2001",C.wuellerstorfi
5888.72,0.56,1.81,0.56,2.45,"Hodell et al., 2001",C.wuellerstorfi
