Depth [m],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
108.63,20068,0.4,1.44
108.68,20073,0.46,1.74
108.73,20078,-0.11,0.93
108.79,20081,0.84,1.82
108.84,20084,0.79,1.53
108.89,20087,0.63,1.65
108.93,20090,0.83,1.64
108.99,20093,0.62,1.81
109.04,20096,0.52,1.69
109.08,20099,0.47,2.12
109.13,20101,0.77,1.57
109.18,20104,0.69,1.79
109.23,20107,0.73,1.99
109.28,20110,0.52,1.61
109.34,20114,0.82,2
109.39,20117,0.04,1.19
109.49,20126,0.28,1.63
109.54,20131,0.43,1.47
109.58,20134,0.86,1.56
109.63,20139,0.67,1.48
109.68,20143,0.52,1.41
109.73,20148,0.46,1.21
109.78,20152,0.56,1.23
109.84,20158,0.73,1.04
109.89,20162,0.6,1.59
109.93,20165,0.46,1.49
109.98,20168,0.46,1.6
110.08,20176,0.67,2.07
110.13,20179,0.85,1.91
110.18,20183,0.76,1.97
110.23,20187,0.85,1.78
110.29,20191,0.96,1.98
110.35,20196,0.8,1.74
110.39,20199,0.66,1.86
110.43,20202,0.63,1.75
110.49,20206,0.62,1.82
110.54,20210,0.75,1.73
110.59,20214,0.75,2.02
110.63,20217,0.85,2.07
110.69,20227,0.56,1.73
110.74,20236,0.5,1.8
110.79,20245,0.63,1.73
110.84,20254,0.86,1.9
110.89,20262,0.84,1.85
110.93,20269,0.87,1.61
110.99,20280,0.77,1.56
111.04,20285,0.7,1.6
111.09,20290,0.5,1.65
111.13,20294,0.6,1.66
111.18,20299,0.9,1.78
111.29,20310,0.39,1.59
111.34,20315,0.9,1.75
111.38,20320,0.76,1.59
111.43,20325,0.81,1.6
111.48,20330,0.59,1.89
111.54,20336,0.81,1.9
111.58,20339,0.51,1.77
111.59,20340,0.48,1.74
111.68,20346,0.72,1.67
111.73,20350,0.64,1.67
111.78,20353,0.57,1.57
111.83,20357,0.55,1.72
111.88,20361,0.52,1.31
111.93,20368,0.46,1.82
112.03,20382,0.66,2.07
112.09,20391,0.22,1.29
112.13,20397,0.2,1.06
112.18,20404,0.59,1.26
112.23,20410,0.63,1.43
112.28,20417,0.74,2.1
112.33,20425,0.54,1.56
112.38,20433,0.31,1.52
112.43,20440,0.5,1.43
112.53,20456,0.67,1.67
112.59,20465,0.89,1.68
112.63,20472,0.67,1.77
112.68,20480,0.6,1.52
112.73,20487,0.32,1.24
112.78,20495,0.87,1.74
112.83,20503,0.66,1.64
112.88,20511,1.02,1.63
112.93,20519,0.23,1.26
112.98,20525,0.93,1.74
113.03,20532,0.75,1.73
113.09,20539,0.86,2.19
113.13,20544,0.42,1.56
113.18,20551,0.89,2.05
113.23,20557,0.86,2.07
113.29,20565,0.96,1.58
113.33,20570,1.11,2.01
113.38,20576,1.1,1.87
113.43,20583,1.09,1.57
113.48,20589,0.63,1.77
113.58,20602,0.13,0.95
113.63,20607,0.7,1.98
113.68,20612,0.47,1.22
113.73,20617,0.41,1.79
113.78,20622,0.25,1.26
113.83,20627,0.81,1.72
113.88,20633,0.9,1.79
113.93,20638,0.92,2.15
114.03,20648,1.02,1.94
114.09,20655,1.1,2.09
114.13,20660,1.12,2.12
114.18,20667,1.16,2.18
114.23,20673,1.01,2.1
114.28,20679,0.99,2.16
114.38,20692,1.02,2.17
114.48,20705,0.74,1.88
114.6,20720,0.27,0.92
114.68,20730,0.63,1.81
114.73,20736,0.76,2.11
114.78,20743,0.58,1.88
114.83,20749,0.94,2.03
114.88,20755,0.66,1.89
114.93,20762,0.66,1.7
114.98,20768,0.55,1.46
115,20771,0.79,1.93
115.03,20775,0.78,1.66
115.08,20783,0.82,1.72
115.13,20790,0.69,1.44
115.19,20799,0.73,1.34
115.23,20805,0.55,1.04
115.29,20814,0.31,1.44
115.33,20820,0.7,1.71
115.38,20827,0.27,1.44
115.43,20835,0.87,1.35
115.49,20843,0.94,1.66
115.54,20851,0.33,0.85
115.58,20856,0.6,1.72
115.69,20869,0.37,1.67
115.79,20881,0.68,1.94
115.88,20892,0.25,1.71
115.94,20899,0.43,1.99
115.99,20905,0.59,2.56
116.04,20911,0.88,1.89
116.08,20915,0.53,1.78
116.13,20921,0.39,1.52
116.18,20926,0.58,1.9
116.34,20944,0.61,2.12
116.39,20949,1.18,2.7
116.44,20955,0.93,1.72
116.54,20966,0.54,1.61
116.63,20988,0.9,1.67
116.69,21001,0.38,1.47
116.74,21011,0.61,1.94
116.78,21019,0.78,1.96
116.84,21032,1.23,2.9
116.89,21041,0.76,1.97
116.94,21050,0.44,2.3
116.98,21058,0.86,1.72
117.13,21086,0.91,2.11
117.24,21106,1.57,3
117.34,21116,1.06,2.06
117.44,21125,0.79,1.85
117.54,21135,1.42,2.01
117.58,21139,0.68,1.91
117.63,21144,0.7,1.83
117.69,21149,0.74,1.92
117.79,21159,0.98,1.64
117.89,21169,0.77,1.26
117.94,21173,1.04,2.15
118.29,21203,0.48,1.19
118.34,21208,1.12,2.72
118.39,21213,0.55,1.94
118.48,21221,0.53,1.66
118.59,21232,0.9,2.07
118.64,21237,0.86,1.8
118.69,21242,0.91,1.78
118.73,21246,0.48,1.33
119.84,21357,0.57,2.1
119.89,21362,0.16,1.96
119.94,21367,0.17,1.38
119.99,21373,0.65,1.92
120.04,21379,0.63,1.93
120.08,21383,0.68,2.04
120.13,21389,1.24,2.47
120.19,21396,0.65,2.01
120.24,21402,0.65,1.68
120.29,21408,0.83,2.1
120.34,21414,0.93,1.9
120.44,21425,1.1,1.86
120.49,21430,0.76,1.38
120.54,21434,0.96,1.48
120.58,21438,0.72,1.63
120.68,21446,0.63,1.62
120.73,21451,0.54,1.81
120.79,21456,0.72,1.6
120.88,21464,0.79,1.82
120.93,21468,0.61,1.7
120.98,21473,0.49,1.39
121.08,21482,0.58,1.72
121.18,21490,0.13,1.16
121.29,21500,0.5,1.52
121.48,21517,1.16,1.41
121.53,21521,0.75,1.51
121.58,21526,0.71,1.31
121.63,21530,0.03,1.32
121.68,21535,0.98,1.44
121.73,21539,0.7,1.89
121.88,21554,0.66,1.74
