depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
20.37,2951.1,0.67,3.74
20.405,2955.6,0.28,3.38
20.43,2958.8,0.72,2.87
20.48,2965.3,0.5,3.12
20.53,2971.7,0.24,3.39
20.555,2974.9,0.79,3.17
20.63,2981.1,0.64,3.69
20.705,2986,0.49,3.32
20.755,2989.2,0.67,3.32
20.78,2990.9,0.57,3.5
20.805,2992.5,0.62,3.76
20.83,2994.1,-0.06,3.28
20.855,2995.8,0.7,3.81
20.88,2997.4,0.48,3.67
20.905,2999,0.24,3.61
20.93,3000.7,0.49,3.54
20.955,3002.3,0.56,3.65
21.03,3007.2,0.03,3.75
21.055,3008.8,0.41,3.53
21.08,3010.4,0.2,3.67
21.105,3012.1,0.56,3.42
21.13,3013.7,0.56,3.6
21.155,3015.3,0.44,3.75
21.18,3017,0.6,3.77
21.205,3018.6,0.71,3.41
21.23,3020.2,0.27,3.57
21.255,3021.8,0.58,3.39
21.28,3023.5,0.55,3.44
21.305,3025.1,0.62,3.08
21.33,3026.7,0.56,3.25
21.355,3028.4,0.48,3.53
21.38,3030,0.38,3.11
21.405,3033.9,0.48,3.21
21.43,3037.7,0.81,3.45
21.455,3041.6,0.52,3.29
21.48,3045.5,0.63,3.24
21.505,3049.4,0.47,3.34
21.53,3053.2,-0.07,3.24
21.555,3057.1,0.76,2.76
21.58,3061,0.81,3.1
21.605,3064.8,0.72,3.21
21.63,3068.7,0.1,3.16
21.655,3072.6,0.11,2.82
21.68,3076.5,0.74,3.4
21.73,3084.2,0.81,3.38
21.755,3088.1,0.68,3.62
21.78,3091.9,0.74,3.14
21.805,3095.8,0.65,3.32
21.83,3099.7,0.31,3.56
21.855,3103.5,0.73,3.32
21.88,3107.4,0.82,3.41
21.905,3111.3,0.7,3.35
21.93,3115.2,0.62,3.45
21.955,3119,0.32,3.28
21.98,3122.9,0.51,3.35
22.005,3126.8,0.42,3.27
22.03,3130.6,0.77,3.43
22.055,3134.5,0.54,3.38
22.08,3138.4,0.57,3.44
22.105,3142.3,0.34,3.47
22.155,3150,0.64,3.66
22.18,3151.6,-0.14,3.04
