Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
6.264143709,0.37,2.53
6.265315522,0.13,2.27
6.266487336,0.26,2.6
6.267659149,0.11,2.54
6.268830962,0.13,2.54
6.270002776,0,2.56
6.271174589,0.03,2.69
6.272346402,-0.1,2.51
6.273518216,-0.08,2.48
6.274690029,-0.23,2.48
6.275861842,-0.27,2.56
6.277033656,-0.33,2.54
6.278205469,-0.37,2.73
6.279377282,-0.55,2.65
6.280549096,-0.39,2.73
6.281720909,-0.53,2.73
6.282892722,-0.61,2.65
6.284064536,-0.32,2.61
6.285236349,-0.24,2.58
6.286408162,-0.17,2.31
6.287579976,0,2.48
6.288751789,-0.16,2.37
6.289923602,-0.08,2.12
6.290861053,-0.1,2.53
6.291095415,-0.19,2.18
6.292267229,-0.12,2.22
6.293439042,-0.21,2.25
6.294610855,-0.15,2.41
6.295782669,-0.12,2.57
6.296954482,-0.1,2.59
6.297891933,-0.01,2.5
6.299063746,-0.05,2.58
6.300469922,0.05,2.46
6.301407373,0.04,2.62
6.303750999,0,2.57
6.304922813,-0.11,2.55
6.306094626,-0.12,2.52
6.307266439,-0.13,2.53
6.309610066,-0.12,2.52
6.310781879,-0.29,2.72
6.311953693,-0.32,2.69
6.313125506,-0.34,2.8
6.314297319,-0.38,2.72
6.315469133,-0.18,2.51
6.316640946,-0.12,2.68
6.317812759,-0.18,2.74
6.318984573,-0.11,2.69
6.320156386,0.05,2.45
6.321328199,0.05,2.76
6.322500013,0.13,2.62
6.323671826,-0.06,2.54
6.324843639,-0.19,2.48
6.32578109,0.14,2.42
6.326952903,0.16,2.45
6.328124716,0.22,2.58
6.32929653,0.12,2.57
6.330468343,-0.093,2.45
6.331640156,0.051,2.48
6.33281197,0.064,2.57
6.333983783,-0.15,2.61
6.335155596,0.1,2.57
6.33632741,0.18,2.46
6.337499223,-0.04,2.34
6.338671036,0.022,2.53
6.341014663,0.2,2.45
6.342186476,0.31,2.56
6.34335829,0.22,2.54
6.344530103,0.15,2.48
6.345467554,0.07,2.4
6.346639367,0.04,2.31
6.34781118,-0.016,2.39
6.348982994,-0.016,2.38
6.350154807,-0.1,2.45
6.35132662,-0.032,2.48
6.352498434,-0.015,2.43
6.353670247,-0.084,2.52
6.35484206,-0.16,2.49
6.356013874,0.036,2.6
6.357185687,-0.12,2.29
6.3583575,-0.14,2.55
6.359529314,-0.33,2.48
6.360701127,-0.21,2.49
6.36187294,-0.35,2.49
6.363044754,-0.34,2.47
6.364401824,-0.53,2.37
6.366087096,-0.33,2.74
6.367772367,-0.36,2.71
6.369457638,-0.22,2.59
6.371142909,-0.28,2.62
6.372828181,-0.3,2.44
6.374513452,-0.083,2.65
6.376198723,-0.096,2.44
6.377883995,-0.025,2.38
6.379569266,-0.1,2.46
6.381254537,-0.026,2.47
6.382939809,0.2,2.52
6.38462508,-0.08,2.54
6.386310351,-0.26,2.45
6.387995623,0.14,2.46
6.389680894,0.12,2.5
6.391366165,0.14,2.5
6.393051436,0.18,2.48
6.394736708,0.086,2.59
6.396421979,0.088,2.4
6.39810725,-0.12,2.35
6.399792522,-0.053,2.4
6.401477793,-0.43,2.37
6.403163064,-0.072,2.5
6.404848336,-0.074,2.54
6.406533607,-0.084,2.5
6.408218878,-0.083,2.49
6.40990415,-0.25,2.64
6.411589421,-0.12,2.5
6.413274692,0.056,2.39
6.414959963,-0.06,2.47
6.416645235,0.029,2.52
6.418330506,0.14,2.47
6.420069442,0.28,2.48
6.4220626,0.22,2.37
6.424055758,0.24,2.44
6.426048915,0.19,2.48
6.428042073,0.12,2.5
6.430035231,0.21,2.42
6.432028389,0.14,2.6
6.434021546,0.09,2.56
6.436014704,0.19,2.45
6.438007862,0.003,2.41
6.44000102,0.053,2.35
6.441994178,-0.04,2.43
6.443987335,-0.063,2.49
6.445980493,0.065,2.43
6.447973651,0.06,2.56
6.449966809,-0.006,2.53
6.451959967,-0.12,2.45
6.453953124,-0.21,2.53
6.455946282,-0.16,2.57
6.45793944,-0.23,2.46
6.459932598,-0.098,2.44
6.461925756,0.085,2.62
6.463918913,-0.062,2.65
6.465912071,0.16,2.66
6.467905229,0.037,2.6
6.469101124,0.11,2.49
6.471094281,0.017,2.58
6.473087439,-0.009,2.62
6.475080597,0.22,2.63
6.479066912,0.082,2.53
6.48106007,0.05,2.45
6.483053228,0.31,2.64
6.485046386,0.26,2.49
6.487039544,0.3,2.51
6.489032701,0.074,2.45
6.490627228,0.15,2.61
