Depth adj rmcd [armcd],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
117.975,23910,0.78,1.7
118.015,23914,0.71,1.72
118.055,23918,0.62,1.74
118.095,23922,0.76,1.49
118.135,23926,0.66,1.55
118.175,23930,0.66,1.83
118.215,23934,0.73,1.61
118.255,23938,0.76,1.62
118.295,23943,0.8,1.59
118.335,23947,0.78,1.51
118.375,23951,0.84,1.61
118.415,23955,0.74,1.52
118.495,23963,0.62,1.4
118.535,23967,0.67,1.47
118.575,23971,0.82,1.37
118.615,23975,0.54,1.44
118.655,23980,0.59,1.49
118.695,23984,0.59,1.5
118.735,23988,0.65,1.66
118.775,23992,0.59,1.47
118.815,23996,0.7,1.53
118.895,24004,0.59,1.46
118.975,24013,0.52,1.49
119.015,24017,0.62,1.44
119.055,24021,0.57,1.47
119.095,24025,0.54,1.64
119.135,24029,0.5,1.53
119.215,24037,0.54,1.56
119.255,24041,0.69,1.78
119.295,24045,0.65,1.71
119.335,24048,0.63,1.61
119.375,24050,0.65,1.52
119.415,24053,0.65,1.5
119.455,24055,0.64,1.4
119.495,24057,0.57,1.39
119.575,24061,0.59,1.36
119.615,24063,0.73,1.44
119.655,24065,0.65,1.5
119.695,24067,0.62,1.58
119.735,24069,0.65,1.45
119.775,24072,0.53,1.55
119.795,24073,0.61,1.38
119.815,24074,0.5,1.47
119.855,24076,0.57,1.48
119.895,24078,0.4,1.53
119.975,24082,0.12,1.29
120.015,24084,0.54,1.57
120.095,24088,0.68,1.55
120.135,24091,0.49,1.43
120.175,24093,0.36,1.23
120.215,24095,0.46,1.35
120.255,24097,0.79,1.63
120.375,24103,0.5,1.45
120.495,24110,0.53,1.67
120.535,24112,0.69,1.6
120.575,24114,0.76,1.54
120.615,24116,0.56,1.59
120.735,24122,0.73,1.71
120.775,24124,0.66,1.66
120.815,24126,0.65,1.65
120.855,24129,0.64,1.53
120.895,24131,0.8,1.59
120.935,24133,0.56,1.46
120.975,24135,0.64,1.42
121.015,24137,0.73,1.5
121.055,24139,0.75,1.61
121.095,24141,0.74,1.51
121.135,24143,0.65,1.41
121.215,24148,0.69,1.3
121.255,24150,0.5,1.44
